,Credit Amount,gender,Education level,Marital Status,Age,Y,totall bill statement,total amount paid,avg repayment
4608,50000,2,1,2,42,0,172827,138656,-0.0
4609,160000,1,2,2,30,0,473607,18952,2.0
4610,150000,2,1,2,23,0,720874,24738,0.0
4611,30000,2,2,1,42,0,174456,9958,0.0
4612,350000,1,1,1,35,0,39941,10500,1.0
4613,20000,2,1,2,24,0,117099,9300,0.0
4614,50000,1,2,2,39,0,95214,4429,0.0
4615,180000,1,3,1,27,1,64152,26000,0.0
4616,30000,1,3,2,23,1,141254,3545,0.0
4617,100000,1,2,1,52,0,233111,18786,0.0
4618,20000,1,2,2,24,0,76330,4600,2.0
4619,80000,1,1,2,29,0,343812,12156,0.0
4620,150000,1,2,1,43,0,498574,27161,0.0
4621,230000,2,1,2,30,0,11084,11212,-1.0
4622,50000,1,1,1,25,0,35214,8500,0.0
4623,210000,2,1,2,39,0,15070,12072,-1.0
4624,50000,1,2,3,41,0,296814,9214,0.0
4625,240000,2,2,1,37,0,17236,17860,-1.0
4626,500000,2,3,2,40,0,1170606,220219,0.0
4627,210000,1,2,2,28,0,11573,1000,-1.0
4628,160000,2,2,1,40,0,0,200,-2.0
4629,250000,2,1,2,48,1,0,0,-2.0
4630,500000,2,1,2,46,0,76629,25647,-0.0
4631,100000,1,2,1,35,1,376020,17300,2.0
4632,20000,2,2,2,26,0,100172,10022,0.0
4633,30000,2,2,1,30,0,29976,1525,-1.0
4634,50000,2,1,2,27,0,103678,49028,-1.0
4635,160000,1,2,2,27,0,704972,62958,1.0
4636,50000,1,3,2,28,0,2539,24238,-0.0
4637,90000,2,3,1,25,1,6570,3207,-1.0
4638,20000,1,2,2,28,0,76176,6982,0.0
4639,50000,1,1,1,44,0,108570,3871,-1.0
4640,230000,2,3,2,39,0,48002,3200,0.0
4641,150000,1,2,2,31,0,463726,15171,2.0
4642,50000,1,1,2,45,0,191539,8408,0.0
4643,280000,2,1,2,36,0,28010,720,-1.0
4644,500000,2,1,1,37,0,1755271,85200,0.0
4645,90000,2,2,1,47,0,70217,69410,-1.0
4646,360000,1,1,2,29,0,189977,52611,-0.0
4647,140000,1,2,2,50,0,191624,113182,-0.0
4648,140000,1,1,2,44,0,35290,30003,-1.0
4649,230000,2,1,2,44,1,0,0,-2.0
4650,50000,2,2,2,25,0,145508,20955,0.0
4651,130000,2,2,1,50,0,6375,7379,-1.0
4652,330000,2,1,2,44,1,1545434,59894,0.0
4653,210000,1,1,2,30,0,66629,31012,-1.0
4654,10000,2,1,1,27,0,41262,4653,1.0
4655,50000,2,2,1,54,0,202737,7007,0.0
4656,100000,2,1,1,46,0,275537,16500,0.0
4657,70000,2,3,1,26,0,215918,12745,0.0
4658,50000,2,2,1,45,0,267933,14678,0.0
4659,170000,2,1,1,28,0,55362,12265,-0.0
4660,100000,2,2,1,50,1,282978,13441,2.0
4661,80000,1,1,1,36,0,256535,19252,-0.0
4662,150000,1,3,2,27,0,406297,15911,0.0
4663,50000,2,3,2,23,0,168372,6996,0.0
4664,80000,1,2,1,34,0,42162,52162,-1.0
4665,120000,2,1,2,24,0,492661,19089,0.0
4666,470000,1,3,1,47,0,632964,169702,0.0
4667,80000,2,3,1,52,0,56754,2744,0.0
4668,60000,1,1,2,30,0,305889,15300,0.0
4669,80000,1,2,2,42,0,316747,12879,0.0
4670,50000,1,2,1,57,1,108557,15858,0.0
4671,500000,1,1,1,43,1,2488760,90532,0.0
4672,110000,1,2,2,26,0,263214,22300,0.0
4673,80000,2,2,1,44,0,81919,2150,-1.0
4674,50000,1,2,2,27,1,267212,17523,2.0
4675,400000,2,1,1,44,1,1364076,9193,1.0
4676,90000,2,1,2,29,0,539566,22280,0.0
4677,150000,2,5,1,53,0,822505,40788,0.0
4678,360000,2,1,1,35,0,10908,287,-2.0
4679,170000,1,3,1,29,0,608289,19900,0.0
4680,110000,1,3,2,37,1,395040,15348,1.0
4681,220000,2,1,2,29,0,1135096,46235,0.0
4682,200000,2,2,1,36,0,1164517,73400,0.0
4683,500000,2,1,2,47,0,177421,177821,-2.0
4684,340000,1,1,1,48,0,1526165,49283,0.0
4685,180000,2,2,2,32,0,0,0,-2.0
4686,490000,1,1,2,44,0,31372,33268,-1.0
4687,60000,2,2,2,26,0,260862,8319,0.0
4688,250000,1,1,2,30,0,16478,14768,-2.0
4689,20000,2,2,2,30,1,108639,6382,0.0
4690,170000,1,3,1,39,0,994790,37100,1.0
4691,160000,2,3,2,37,1,118726,12551,1.0
4692,80000,2,1,2,25,0,1672,0,-2.0
4693,380000,2,1,1,36,0,4375,17526,-1.0
4694,70000,2,3,1,33,1,276143,10691,0.0
4695,80000,1,1,2,29,0,431637,17292,0.0
4696,380000,1,2,1,58,0,1890669,68280,0.0
4697,230000,2,1,2,24,0,48551,39559,-1.0
4698,130000,1,2,2,28,1,673361,19361,1.0
4699,160000,2,1,1,35,0,2851,0,-2.0
4700,50000,2,3,1,42,0,141454,17302,0.0
4701,180000,1,1,1,45,0,568500,32000,1.0
4702,220000,2,2,2,31,0,486062,20000,0.0
4703,200000,2,3,1,41,1,834,7982,-0.0
4704,520000,1,3,1,41,1,1903235,50884,1.0
4705,30000,1,2,2,46,1,85616,7159,0.0
4706,150000,2,2,3,41,0,5138,6189,-1.0
4707,210000,2,2,1,32,0,3758,4257,-1.0
4708,50000,2,2,2,36,1,204336,8050,0.0
4709,20000,2,2,1,37,0,110331,5218,0.0
4710,290000,1,1,1,44,0,75875,64843,-1.0
4711,50000,2,2,2,32,0,140426,157897,-0.0
4712,130000,2,3,1,42,0,673480,24465,0.0
4713,60000,1,2,2,24,0,83210,30436,-0.0
4714,20000,1,1,2,25,0,83775,5942,1.0
4715,160000,2,2,2,35,0,793688,39854,0.0
4716,250000,2,3,1,39,0,86782,77177,-1.0
4717,80000,1,3,1,38,0,120363,6910,0.0
4718,60000,2,2,1,33,0,233339,7898,0.0
4719,80000,1,2,2,30,1,272761,76133,0.0
4720,60000,1,2,2,25,0,249069,7957,1.0
4721,410000,1,1,1,38,0,26351,15484,-1.0
4722,240000,2,1,2,34,0,155122,20960,0.0
4723,30000,1,3,2,46,1,85201,3941,1.0
4724,200000,2,2,2,31,0,18702,4706,-1.0
4725,180000,2,2,1,46,0,174559,24638,0.0
4726,100000,1,2,2,32,0,570105,39000,-0.0
4727,50000,2,5,2,42,1,215334,7163,0.0
4728,60000,2,3,2,45,1,11256,11256,-1.0
4729,50000,2,1,2,26,1,52431,6900,1.0
4730,240000,2,1,1,34,0,9550,9637,-2.0
4731,220000,2,1,2,29,0,212778,26158,0.0
4732,40000,1,3,2,42,0,8240,3603,-0.0
4733,80000,2,1,2,23,0,150315,3657,-1.0
4734,320000,1,2,2,52,0,8486,47076,-1.0
4735,420000,1,2,1,43,0,324291,126512,0.0
4736,500000,1,2,1,48,0,231712,226633,-1.0
4737,290000,2,2,2,24,0,720215,38024,0.0
4738,190000,1,1,1,45,0,953091,39035,0.0
4739,100000,1,1,2,33,1,608302,38650,0.0
4740,230000,2,2,2,26,0,0,8618,-2.0
4741,50000,1,2,1,36,0,114954,4000,1.0
4742,210000,1,2,1,43,0,163764,116492,0.0
4743,90000,2,2,2,24,1,0,0,-2.0
4744,480000,1,3,1,56,0,639738,28800,0.0
4745,120000,1,1,2,41,0,175773,62000,-1.0
4746,160000,1,2,2,28,0,965703,35332,2.0
4747,110000,1,2,1,27,0,295518,13000,2.0
4748,260000,2,2,1,60,0,1960,2020,-1.0
4749,80000,1,1,2,24,0,20973,20125,-0.0
4750,50000,1,2,1,58,0,14955,14514,-1.0
4751,50000,2,2,1,45,1,151600,6526,0.0
4752,100000,2,2,2,29,0,414743,18674,0.0
4753,20000,1,3,1,56,1,76537,9000,1.0
4754,260000,2,1,1,44,0,10779,69657,-0.0
4755,680000,2,1,1,42,0,1110387,45000,0.0
4756,50000,1,2,2,25,0,147907,50833,0.0
4757,170000,2,1,2,27,0,657645,23880,0.0
4758,210000,2,2,1,37,1,2608,1956,-0.0
4759,500000,1,1,1,51,0,135970,157867,-2.0
4760,180000,2,1,1,45,0,139226,13848,0.0
4761,340000,2,2,1,37,0,6387,8747,-0.0
4762,160000,1,3,2,30,0,693613,158091,0.0
4763,30000,2,2,1,22,1,154718,7028,0.0
4764,230000,2,2,1,44,0,853896,26166,0.0
4765,30000,1,3,2,22,0,108453,3459,0.0
4766,480000,1,2,2,33,0,375365,301267,-0.0
4767,360000,1,1,1,44,0,28244,11602,-1.0
4768,500000,1,1,1,50,1,470157,15610,2.0
4769,220000,1,1,1,37,0,40276,47805,-0.0
4770,100000,2,1,2,29,1,409690,12364,1.0
4771,200000,2,2,2,31,0,1500,1500,-1.0
4772,200000,1,1,2,40,0,1005906,41726,-0.0
4773,90000,2,2,2,23,0,543658,24527,0.0
4774,50000,1,2,2,24,0,169829,14029,0.0
4775,80000,2,2,1,42,1,288078,11700,2.0
4776,260000,2,1,1,48,0,16672,5000,-1.0
4777,80000,2,3,1,25,0,329389,11620,0.0
4778,20000,1,1,2,23,1,-6378,0,-2.0
4779,50000,1,2,2,53,0,22075,17129,-0.0
4780,90000,2,1,2,29,0,551049,21581,0.0
4781,290000,1,2,1,30,0,1511734,54608,0.0
4782,20000,2,3,1,30,0,131912,18900,-2.0
4783,230000,2,1,2,36,0,0,0,-2.0
4784,360000,2,2,2,34,0,20545,9597,-1.0
4785,50000,1,2,2,40,1,205466,8000,0.0
4786,80000,1,2,2,36,0,245020,88216,-2.0
4787,100000,2,2,2,56,1,506458,19800,0.0
4788,390000,2,1,2,28,0,1347348,42300,0.0
4789,120000,1,2,1,52,0,457721,21180,0.0
4790,20000,2,2,2,35,0,97113,724,1.0
4791,150000,2,2,2,24,1,139809,14842,0.0
4792,20000,1,2,1,38,1,76040,20584,-0.0
4793,20000,1,1,1,44,0,106467,7306,0.0
4794,250000,1,1,2,44,0,638709,30000,0.0
4795,230000,2,2,2,25,0,172608,78349,-0.0
4796,20000,1,3,1,40,0,125025,10160,0.0
4797,80000,2,2,1,41,0,142024,7338,0.0
4798,310000,2,2,2,32,0,299030,11800,0.0
4799,480000,1,1,2,49,0,2185486,74199,0.0
4800,20000,2,1,2,24,0,16332,187,-1.0
4801,50000,1,3,1,22,0,243649,10355,0.0
4802,190000,1,2,1,35,1,1300880,149000,3.0
4803,50000,1,2,2,41,0,194041,9275,0.0
4804,50000,2,2,2,29,1,63951,7000,1.0
4805,50000,1,2,1,38,0,120176,9000,0.0
4806,300000,2,2,1,45,0,206656,215383,-1.0
4807,60000,1,2,1,33,0,210737,13079,0.0
4808,260000,1,1,2,28,0,48172,57625,-1.0
4809,190000,1,1,2,27,0,421399,103960,0.0
4810,500000,1,3,3,53,0,1629462,55313,0.0
4811,300000,2,1,2,31,0,129388,40333,-0.0
4812,50000,1,2,2,43,1,210335,6097,0.0
4813,50000,2,3,1,27,1,194756,9104,1.0
4814,130000,2,2,1,42,0,119286,23280,0.0
4815,80000,1,1,1,38,0,604,0,-2.0
4816,50000,1,2,3,37,0,259460,10776,0.0
4817,50000,2,2,2,31,0,135301,7525,0.0
4818,120000,2,1,2,27,0,365325,15000,0.0
4819,220000,2,1,2,33,0,68666,71994,-1.0
4820,50000,2,1,2,35,0,292234,15700,0.0
4821,90000,2,1,2,29,0,541178,21690,0.0
4822,360000,2,2,2,43,0,0,84216,-2.0
4823,280000,2,2,1,49,0,96323,73140,-1.0
4824,270000,2,1,1,57,0,46217,34078,-2.0
4825,200000,1,1,1,31,0,600884,19049,0.0
4826,80000,1,3,2,25,0,406603,15656,0.0
4827,60000,2,1,2,34,0,27486,27486,-1.0
4828,60000,2,2,2,31,0,257858,11100,0.0
4829,90000,2,1,2,28,0,368514,93500,-0.0
4830,10000,2,3,3,48,0,52498,3900,0.0
4831,140000,1,2,2,36,0,517103,18551,0.0
4832,280000,1,1,1,42,1,750181,21491,0.0
4833,140000,2,2,1,24,0,438647,23000,0.0
4834,110000,1,3,1,52,0,92349,7095,0.0
4835,120000,2,3,2,26,0,186691,93933,-0.0
4836,130000,2,2,1,39,0,782547,30708,0.0
4837,290000,1,2,1,48,0,762080,36949,0.0
4838,80000,1,2,1,33,0,139920,9900,0.0
4839,50000,2,2,2,22,1,96605,5000,2.0
4840,450000,2,2,1,33,0,4967,4649,-2.0
4841,50000,1,3,1,37,1,178929,5560,1.0
4842,170000,2,1,2,27,0,497450,13261,-2.0
4843,210000,1,2,2,30,0,359492,48326,0.0
4844,30000,2,2,2,23,0,145389,8808,0.0
4845,230000,1,1,2,33,0,322984,12400,0.0
4846,170000,1,2,2,34,1,4786,4028,-1.0
4847,20000,2,2,2,22,0,116203,5442,0.0
4848,50000,1,3,1,54,0,147703,5918,1.0
4849,100000,2,2,1,42,0,400989,17500,0.0
4850,140000,2,1,2,27,0,390,2943,-2.0
4851,100000,2,1,2,30,0,444592,17807,0.0
4852,150000,2,1,1,37,1,4768,3435,0.0
4853,60000,2,3,2,23,1,102206,9347,0.0
4854,200000,1,3,1,33,1,1191819,45239,0.0
4855,200000,2,1,2,27,0,82895,37948,0.0
4856,50000,2,1,2,35,1,187627,6076,0.0
4857,60000,1,2,2,32,0,168831,6200,0.0
4858,50000,2,3,1,32,1,280246,8532,1.0
4859,140000,2,2,1,55,0,119892,23088,0.0
4860,640000,2,1,2,41,0,349659,16775,0.0
4861,210000,1,2,1,41,1,550242,21400,2.0
4862,60000,2,2,1,27,0,191892,9600,0.0
4863,80000,2,2,1,32,1,438340,13250,2.0
4864,290000,2,1,1,37,1,10868,10309,-1.0
4865,150000,2,1,2,28,0,0,0,-2.0
4866,200000,2,2,2,40,0,824004,214199,0.0
4867,130000,2,2,2,29,1,25755,5500,2.0
4868,490000,1,2,2,34,0,895087,285066,-1.0
4869,200000,1,2,1,40,1,16612,8058,-2.0
4870,210000,2,1,1,54,0,162809,109862,-1.0
4871,260000,2,1,2,29,1,14329,10610,-1.0
4872,80000,1,2,1,42,0,288737,12205,0.0
4873,50000,1,3,1,53,0,157323,10724,0.0
4874,210000,2,2,2,30,0,396740,118186,0.0
4875,210000,2,2,3,52,0,99134,64040,-1.0
4876,40000,2,3,1,41,0,131391,6822,2.0
4877,110000,2,2,1,33,0,896696,144480,0.0
4878,50000,1,1,2,49,0,135030,9088,0.0
4879,80000,2,1,2,27,0,10039,6043,-1.0
4880,80000,2,1,2,37,1,25240,19385,-1.0
4881,250000,2,1,2,43,0,491366,18033,0.0
4882,100000,2,1,2,27,0,470694,18400,0.0
4883,50000,1,2,2,29,1,284180,14000,2.0
4884,150000,2,1,2,32,1,756876,33500,1.0
4885,70000,1,2,2,30,1,124256,7842,1.0
4886,150000,1,1,2,29,0,14909,14660,-1.0
4887,360000,2,1,2,31,0,7211,46585,-1.0
4888,90000,1,2,2,29,0,358204,35611,0.0
4889,160000,2,2,1,28,0,45895,3776,0.0
4890,70000,2,2,2,36,0,244731,8518,0.0
4891,360000,2,2,1,33,0,1642177,55899,0.0
4892,420000,2,1,2,33,0,34161,408543,-1.0
4893,50000,2,2,1,47,0,131648,6839,0.0
4894,160000,2,2,2,28,1,682544,23300,2.0
4895,100000,2,2,1,38,0,349,899,-1.0
4896,240000,2,3,1,41,0,35625,25838,-1.0
4897,390000,2,1,2,42,0,525613,27203,0.0
4898,80000,2,2,1,37,0,309924,11098,0.0
4899,360000,2,1,2,29,1,161908,11289,0.0
4900,210000,2,2,1,34,0,20133,19219,-1.0
4901,320000,2,1,2,28,1,7737,8207,-1.0
4902,20000,2,3,1,50,0,57758,6502,0.0
4903,180000,2,2,1,27,1,826839,19534,1.0
4904,490000,1,2,1,50,0,1298694,58000,0.0
4905,30000,2,2,2,22,0,166957,8200,0.0
4906,290000,2,1,1,34,0,1919,7301,-1.0
4907,340000,2,2,1,46,0,0,0,-2.0
4908,40000,2,2,1,43,0,5443,6183,-1.0
4909,50000,1,2,2,23,0,51068,60080,-2.0
4910,30000,1,2,2,30,1,124070,14779,1.0
4911,60000,2,1,2,34,0,3477,2524,-0.0
4912,180000,1,5,2,29,0,166726,14520,-1.0
4913,160000,1,3,1,57,0,2340,2340,-1.0
4914,170000,1,1,1,33,0,401557,159665,0.0
4915,50000,1,2,1,42,0,122592,25955,0.0
4916,50000,1,2,1,45,0,62830,4745,0.0
4917,360000,2,1,1,32,0,0,0,-2.0
4918,160000,2,2,1,35,1,818001,32652,2.0
4919,260000,2,1,2,39,0,567858,108271,0.0
4920,350000,2,1,2,31,0,811027,535000,1.0
4921,30000,2,2,2,26,0,159791,9408,0.0
4922,180000,2,2,2,27,0,106848,4690,1.0
4923,230000,2,1,2,30,0,4615,3679,-1.0
4924,50000,2,1,2,29,0,0,0,-2.0
4925,370000,1,2,1,38,1,2066203,80217,0.0
4926,30000,1,2,1,42,0,174590,10816,0.0
4927,280000,1,1,2,31,0,10821,7857,0.0
4928,210000,2,2,2,53,1,2340,2340,-1.0
4929,150000,2,1,1,49,0,2607,4422,0.0
4930,170000,2,1,2,30,0,67179,37645,-0.0
4931,80000,1,2,2,28,0,460812,18745,0.0
4932,30000,2,2,1,29,1,105265,5300,2.0
4933,50000,1,2,2,38,0,303484,11999,0.0
4934,140000,2,2,2,24,0,189496,48389,0.0
4935,30000,2,1,1,22,0,155853,5910,1.0
4936,50000,1,2,1,45,0,170064,46594,0.0
4937,20000,1,1,2,24,0,1950,1560,-1.0
4938,180000,1,1,1,37,0,69622,5500,-0.0
4939,30000,1,2,2,46,0,97845,3500,-0.0
4940,210000,1,2,2,26,0,560933,46500,0.0
4941,30000,1,2,2,35,0,90521,9032,0.0
4942,50000,2,2,2,31,0,121385,7100,0.0
4943,270000,2,1,2,31,0,6669,12978,-2.0
4944,70000,2,2,2,25,0,150667,7171,0.0
4945,110000,1,2,2,32,0,250172,149025,-0.0
4946,20000,2,1,2,24,1,30373,27786,-1.0
4947,150000,1,2,1,37,1,892330,26707,0.0
4948,420000,1,1,1,59,0,688590,23272,0.0
4949,20000,1,1,2,24,0,3565,4971,-2.0
4950,50000,1,2,2,51,0,189950,26944,0.0
4951,170000,1,1,2,51,0,952975,29628,0.0
4952,20000,1,3,1,35,0,117817,5636,0.0
4953,360000,2,3,2,36,1,2338,0,-2.0
4954,280000,2,1,2,34,0,10563,1000,-0.0
4955,340000,1,1,2,35,0,13262,30786,-1.0
4956,180000,1,1,1,46,1,516874,30214,-1.0
4957,280000,1,1,2,33,1,761884,178901,-0.0
4958,60000,1,1,2,27,1,152030,22000,0.0
4959,150000,1,1,1,56,1,373630,21458,0.0
4960,300000,2,1,2,24,0,216692,15577,0.0
4961,210000,2,1,1,34,0,863998,38121,0.0
4962,50000,1,1,2,29,0,181066,9053,0.0
4963,140000,2,1,2,30,0,2192,2364,-1.0
4964,180000,2,1,2,42,0,234818,63000,-0.0
4965,380000,1,3,1,44,0,259722,10933,-0.0
4966,10000,2,2,2,22,0,17058,2380,-0.0
4967,50000,1,3,1,45,0,159205,6848,0.0
4968,50000,2,2,2,22,1,231581,8727,0.0
4969,50000,2,1,2,25,0,74519,13539,-0.0
4970,140000,2,2,1,37,0,51840,10000,0.0
4971,110000,1,2,2,36,0,537868,18606,0.0
4972,260000,1,2,1,63,0,9762,7897,-1.0
4973,50000,2,2,2,26,0,174749,5315,0.0
4974,180000,2,1,2,30,0,35484,59214,1.0
4975,150000,2,2,2,26,0,361843,14637,0.0
4976,80000,2,1,1,39,0,174052,11712,0.0
4977,210000,2,1,2,31,0,0,0,-2.0
4978,320000,1,1,1,44,0,46000,46000,-1.0
4979,100000,2,2,1,36,0,484674,11902,0.0
4980,100000,2,1,1,35,0,95336,38012,-1.0
4981,50000,1,1,2,24,0,90428,19706,0.0
4982,240000,1,3,1,43,1,12690,2500,1.0
4983,300000,2,1,2,33,0,36095,24596,-1.0
4984,200000,2,1,2,30,1,390840,9601,-1.0
4985,270000,2,1,1,31,0,546490,29005,0.0
4986,150000,2,1,2,26,1,434760,13837,2.0
4987,260000,2,2,2,29,0,16993,10370,-1.0
4988,50000,2,2,2,24,0,115984,10964,0.0
4989,130000,2,2,1,32,1,317634,10900,1.0
4990,80000,2,1,2,28,0,91485,4128,0.0
4991,20000,1,1,2,32,0,105577,9013,1.0
4992,410000,2,2,1,50,0,1410626,51500,0.0
4993,80000,1,2,1,36,1,474688,18700,2.0
4994,160000,2,3,1,58,0,113996,112904,-1.0
4995,500000,2,1,2,40,0,109157,107166,-2.0
4996,20000,2,2,1,36,0,110994,7293,0.0
4997,180000,2,4,1,34,0,35240,22066,-1.0
4998,200000,2,2,1,45,1,691806,21443,0.0
4999,310000,1,3,1,44,0,1548067,72000,0.0
5000,160000,1,1,2,40,0,4440,3725,-1.0
5001,170000,2,3,1,61,0,200,200,-1.0
5002,500000,1,1,1,45,1,155463,189036,-1.0
5003,140000,2,1,2,28,0,-123,30682,-1.0
5004,80000,2,3,1,48,0,278946,18025,0.0
5005,420000,2,2,2,28,0,182789,84099,-0.0
5006,90000,2,3,0,24,0,70705,50863,-1.0
5007,280000,2,1,2,31,0,1630,1956,-2.0
5008,20000,1,3,1,44,0,87927,10518,2.0
5009,170000,2,2,1,31,0,192338,12300,-0.0
5010,30000,2,2,2,26,0,53662,6289,0.0
5011,20000,1,3,2,26,0,16320,0,-1.0
5012,280000,2,1,1,49,1,91118,98729,-2.0
5013,30000,2,3,2,40,0,280903,11000,2.0
5014,170000,2,1,1,38,0,5556,0,-1.0
5015,290000,2,1,1,38,0,40565,23165,-0.0
5016,290000,2,1,2,24,0,5400,12384,-1.0
5017,360000,2,2,2,33,0,26395,32603,-1.0
5018,190000,2,2,1,34,0,562877,28510,1.0
5019,90000,1,2,2,26,0,70092,0,-1.0
5020,20000,1,3,2,48,0,102762,6150,1.0
5021,290000,2,2,1,42,0,692683,30000,0.0
5022,460000,2,1,2,38,0,1569645,54222,0.0
5023,230000,2,1,2,26,0,6464,7313,-0.0
5024,170000,1,2,1,37,0,1954,1630,-2.0
5025,180000,2,1,1,40,0,31379,17560,-0.0
5026,20000,1,2,2,27,0,113954,25842,-0.0
5027,50000,1,2,1,25,0,278085,10685,0.0
5028,200000,1,1,2,30,0,0,20271,-2.0
5029,80000,2,3,1,53,0,0,0,-2.0
5030,380000,1,1,1,53,0,92407,76047,-0.0
5031,500000,1,1,1,40,1,72746,61672,-1.0
5032,170000,1,2,1,49,1,121060,5886,2.0
5033,20000,2,1,2,23,0,96318,10000,0.0
5034,320000,2,2,1,32,0,987018,38600,0.0
5035,50000,2,1,2,23,1,171617,5974,0.0
5036,400000,1,2,1,45,0,2388940,244000,1.0
5037,320000,2,1,2,33,0,27555,23025,-0.0
5038,200000,1,1,2,28,0,1117709,45016,0.0
5039,20000,1,1,2,28,1,32826,16010,-0.0
5040,230000,2,3,2,42,1,5931,6531,-1.0
5041,130000,2,1,2,29,1,4494,3675,-1.0
5042,310000,1,1,2,28,1,968780,63320,0.0
5043,50000,2,3,2,58,0,162826,7729,0.0
5044,90000,1,3,2,45,0,380018,67985,-0.0
5045,260000,2,3,1,42,0,431616,20959,0.0
5046,270000,1,1,2,36,0,293719,18159,0.0
5047,210000,2,1,2,30,0,335734,67936,0.0
5048,220000,2,2,2,52,0,763352,34382,0.0
5049,80000,1,2,2,30,1,471965,23250,1.0
5050,50000,2,3,2,61,0,249393,14064,1.0
5051,20000,2,2,1,39,0,227041,9200,0.0
5052,20000,2,1,2,23,0,16099,3391,-1.0
5053,100000,2,1,2,25,0,64072,46804,-0.0
5054,320000,1,2,2,32,0,360143,19000,0.0
5055,200000,2,2,2,31,0,8925,9714,-1.0
5056,80000,2,1,2,25,0,4801,7526,-1.0
5057,120000,2,2,1,34,1,399145,16050,2.0
5058,20000,1,2,2,43,0,97614,4800,0.0
5059,200000,2,1,1,35,0,18936,9548,-1.0
5060,140000,2,2,1,24,0,4176,4176,-1.0
5061,50000,1,2,1,52,1,125123,14198,0.0
5062,60000,1,2,2,25,0,253847,31854,1.0
5063,50000,1,2,2,30,0,204455,7124,0.0
5064,200000,2,2,2,33,0,1162808,36500,0.0
5065,20000,1,2,1,53,1,113933,8382,1.0
5066,200000,2,1,1,32,0,900,1780,-1.0
5067,350000,2,3,1,49,0,34650,23302,-1.0
5068,50000,2,3,1,40,1,138048,7570,0.0
5069,120000,1,2,1,44,1,17312,9458,-0.0
5070,150000,1,2,1,35,0,15314,15668,-1.0
5071,180000,2,2,1,48,0,100607,89576,-1.0
5072,120000,2,2,2,27,1,1110,3128,-1.0
5073,130000,2,1,1,55,0,522789,17595,0.0
5074,80000,2,2,1,41,0,60728,64804,-2.0
5075,390000,2,2,1,49,0,20471,4107,-0.0
5076,50000,2,1,2,27,1,148848,10500,1.0
5077,50000,1,2,2,31,0,168387,9300,1.0
5078,320000,2,2,1,29,1,419212,233966,-0.0
5079,50000,2,2,3,48,1,113899,6752,0.0
5080,200000,2,2,1,43,0,1070560,41900,2.0
5081,30000,1,3,2,59,1,83673,4204,0.0
5082,290000,2,2,1,36,0,1583,2135,-2.0
5083,50000,2,3,1,57,0,14014,11413,-1.0
5084,50000,2,2,1,52,0,8072,9335,-2.0
5085,140000,1,3,1,45,1,808538,25462,2.0
5086,50000,1,2,1,43,1,88309,5520,0.0
5087,80000,2,2,2,23,0,40273,23748,-0.0
5088,50000,2,1,2,31,0,194576,8432,0.0
5089,280000,2,2,2,28,0,25254,8019,-2.0
5090,80000,2,2,1,53,0,231038,10708,0.0
5091,60000,2,2,1,29,0,213586,8074,0.0
5092,360000,2,1,2,26,0,14294,12534,-1.0
5093,520000,1,2,2,32,0,50379,219867,0.0
5094,210000,2,2,1,43,1,0,0,-2.0
5095,360000,1,1,2,26,0,40068,27533,-1.0
5096,100000,1,1,2,27,0,357839,69075,0.0
5097,50000,2,3,1,45,1,145112,5174,0.0
5098,280000,2,2,1,31,0,485283,19026,1.0
5099,120000,1,1,2,26,0,166328,24500,0.0
5100,50000,1,1,2,29,1,287870,12205,1.0
5101,360000,2,1,1,48,0,3696,3115,-2.0
5102,140000,2,2,1,35,1,24698,24911,-1.0
5103,130000,1,1,2,25,0,0,0,-2.0
5104,240000,2,1,1,33,0,32624,66446,-1.0
5105,70000,2,3,2,40,0,259217,54549,0.0
5106,80000,1,2,3,45,0,178035,8780,0.0
5107,20000,2,5,3,35,0,102000,7847,0.0
5108,180000,2,2,2,29,1,942520,35378,0.0
5109,80000,1,2,2,25,0,349445,13900,0.0
5110,300000,2,2,2,39,0,10093,3684,-1.0
5111,70000,1,2,2,31,0,105362,6530,-1.0
5112,180000,2,1,1,30,1,0,0,-2.0
5113,150000,1,2,1,33,0,487640,19200,1.0
5114,30000,2,3,2,36,1,160931,6369,2.0
5115,180000,2,1,2,24,0,648015,23500,0.0
5116,20000,1,2,2,31,0,115854,549,4.0
5117,30000,1,2,2,29,0,147373,10600,1.0
5118,500000,1,1,2,38,1,3490,32156,-2.0
5119,290000,2,1,2,29,0,221538,14000,0.0
5120,500000,2,2,1,47,0,610513,35000,0.0
5121,150000,1,2,2,37,0,382140,14980,-0.0
5122,200000,1,1,1,37,1,1295,877,-0.0
5123,50000,2,2,2,23,0,83147,4994,0.0
5124,180000,2,1,1,47,1,3276,3312,-1.0
5125,150000,2,1,1,40,0,37538,57452,-0.0
5126,210000,2,2,2,34,1,2103,4350,-1.0
5127,30000,2,5,2,23,0,61954,47542,0.0
5128,360000,1,3,1,51,0,8575,5562,-1.0
5129,60000,2,2,1,38,0,141037,6600,1.0
5130,230000,2,2,2,25,0,194319,60711,-0.0
5131,260000,1,3,1,39,0,8288,10801,-0.0
5132,210000,2,2,2,34,0,33900,41174,-1.0
5133,200000,2,1,2,42,0,16127,17541,-1.0
5134,20000,1,2,1,37,0,68566,5562,-0.0
5135,30000,1,3,2,53,0,172986,7661,0.0
5136,180000,2,1,2,32,1,479455,19900,2.0
